nombre,AGATC,TTTTTTCT,AATG,TCTAG,GATA,TATC,GAAA,TCTG
Albus Dumbledore,15,49,38,5,14,44,14,12
Cedric Diggory,31,21,41,28,30,9,36,44
Draco Malfoy,9,13,8,26,15,25,41,39
Fred Weasley,37,40,10,6,5,10,28,8
Ginny Weasley,37,47,10,23,5,48,28,23
Rubeus Hagrid,25,38,45,49,39,18,42,30
Harry Potter,46,49,48,29,15,5,28,40
Hermione Granger,43,31,18,25,26,47,31,36
James Potter,46,41,38,29,15,5,48,22
Kingsley Shacklebolt,7,11,18,33,39,31,23,14
Lavender Brown,22,33,43,12,26,18,47,41
Lily Potter,42,47,48,18,35,46,48,50
Lucius Malfoy,9,13,33,26,45,11,36,39
Luna Lovegood,18,23,35,13,11,19,14,24
Minerva McGonagall,17,49,18,7,6,18,17,30
Neville Longbottom,14,44,28,27,19,7,25,20
Petunia Dursley,29,29,40,31,45,20,40,35
Remus Lupin,6,18,5,42,39,28,44,22
Ron Weasley,37,47,13,25,17,6,13,35
Severus Snape,29,27,32,41,6,27,8,34
Sirius Black,31,11,28,26,35,19,33,6
Vernon Dursley,26,45,34,50,44,30,32,28
Zacharias Smith,29,50,18,23,38,24,22,9
